alg,seed,strat,split,tprate,fprate,precision,recall,fscore,acc,time
3252,SMO,owasp,5,0.81,0.61,57.00,80.60,0.67,59.92,0.92
3252,KStar,owasp,1,0.86,0.30,73.60,85.50,0.79,77.68,0.23
3252,KStar,owasp,2,0.90,0.30,74.60,89.80,0.82,79.75,0.22
3252,KStar,owasp,3,0.85,0.31,72.60,84.70,0.78,76.58,0.22
3252,KStar,owasp,4,0.80,0.22,78.40,80.40,0.79,79.32,0.22
3252,KStar,owasp,5,0.81,0.30,72.80,81.40,0.77,75.53,0.22
3252,OneR,owasp,1,0.57,0.15,78.20,56.60,0.66,70.74,0.20
3252,OneR,owasp,2,0.60,0.21,73.40,59.70,0.66,69.20,0.20
3252,OneR,owasp,3,0.55,0.16,76.80,54.90,0.64,69.41,0.20
3252,OneR,owasp,4,0.51,0.19,72.60,50.60,0.60,66.03,0.20
3252,OneR,owasp,5,0.62,0.228,73.00,61.60,0.668,69.41,0.20
3252,ZeroR,owasp,1,0.00,0,0.00,0.00,0,50.53,0.19
3252,ZeroR,owasp,2,0.00,0,0.00,0.00,0,50.21,0.19
3252,ZeroR,owasp,3,0.00,0,0.00,0.00,0,50.42,0.19
3252,ZeroR,owasp,4,0.00,0,0.00,0.00,0,50.42,0.20
3252,ZeroR,owasp,5,0.00,0.00,0.00,0.00,0,50.00,0.19
3252,J48,owasp,1,0.89,0.28,75.50,89.40,0.82,80.42,0.32
3252,J48,owasp,2,0.92,0.32,73.90,92.40,0.82,79.96,0.31
3252,J48,owasp,3,0.89,0.29,75.10,88.50,0.81,79.75,0.31
3252,J48,owasp,4,0.83,0.23,78.30,83.00,0.81,80.17,0.31
3252,J48,owasp,5,0.86,0.30,74.50,86.10,0.80,78.27,0.33
3252,RandomForest,owasp,1,0.86,0.30,73.60,86.40,0.80,77.89,0.69
3252,RandomForest,owasp,2,0.87,0.30,74.40,87.30,0.80,78.69,0.70
3252,RandomForest,owasp,3,0.85,0.30,73.80,85.10,0.79,77.64,0.64
3252,RandomForest,owasp,4,0.83,0.23,78.40,83.40,0.81,80.38,0.64
3252,RandomForest,owasp,5,0.84,0.30,73.50,84.40,0.79,77.00,0.67
5827,NaiveBayes,owasp,1,0.681,0.42,61.30,68.10,0.65,62.95,0.20
5827,NaiveBayes,owasp,2,0.54,0.42,56.10,54.20,0.55,56.12,0.21
5827,NaiveBayes,owasp,3,0.60,0.43,57.60,59.60,0.59,58.23,0.20
5827,NaiveBayes,owasp,4,0.61,0.39,60.50,61.30,0.61,60.97,0.20
5827,NaiveBayes,owasp,5,0.65,0.44,59.70,65.00,0.62,60.55,0.20
5827,Logistic,owasp,1,0.82,0.54,59.80,81.70,0.69,63.79,0.35
5827,Logistic,owasp,2,0.79,0.62,55.90,78.80,0.65,58.44,0.39
5827,Logistic,owasp,3,0.78,0.54,58.50,77.90,0.67,61.60,0.35
5827,Logistic,owasp,4,0.77,0.53,59.10,77.40,0.67,62.24,0.38
5827,Logistic,owasp,5,0.79,0.59,57.40,78.90,0.66,60.13,0.37
5827,MultilayerPerceptron,owasp,1,0.80,0.32,71.30,80.40,0.76,74.32,8.96
5827,MultilayerPerceptron,owasp,2,0.84,0.34,70.90,83.50,0.77,74.68,9.23
5827,MultilayerPerceptron,owasp,3,0.77,0.33,69.80,76.60,0.73,71.94,9.75
5827,MultilayerPerceptron,owasp,4,0.58,0.16,78.60,57.90,0.67,71.31,8.55
5827,MultilayerPerceptron,owasp,5,0.72,0.27,73.10,72.20,0.73,72.78,8.41
5827,SMO,owasp,1,0.94,0.64,59.00,93.60,0.72,64.63,0.75
5827,SMO,owasp,2,0.94,0.70,57.20,94.10,0.71,62.03,0.84
5827,SMO,owasp,3,0.86,0.60,58.40,85.50,0.69,62.66,0.82
5827,SMO,owasp,4,0.93,0.61,60.20,93.20,0.73,66.03,1.08
5827,SMO,owasp,5,0.81,0.61,57.00,80.60,0.67,59.92,0.86
5827,KStar,owasp,1,0.86,0.30,73.60,85.50,0.79,77.68,0.22
5827,KStar,owasp,2,0.90,0.30,74.60,89.80,0.82,79.75,0.24
5827,KStar,owasp,3,0.85,0.31,72.60,84.70,0.78,76.58,0.22
5827,KStar,owasp,4,0.80,0.22,78.40,80.40,0.79,79.32,0.24
5827,KStar,owasp,5,0.81,0.30,72.80,81.40,0.77,75.53,0.30
5827,OneR,owasp,1,0.57,0.15,78.20,56.60,0.66,70.74,0.29
5827,OneR,owasp,2,0.60,0.21,73.40,59.70,0.66,69.20,0.26
5827,OneR,owasp,3,0.55,0.16,76.80,54.90,0.64,69.41,0.23
5827,OneR,owasp,4,0.51,0.19,72.60,50.60,0.60,66.03,0.23
5827,OneR,owasp,5,0.62,0.23,73.00,61.60,0.67,69.41,0.24
5827,ZeroR,owasp,1,0.00,0.00,0.00,0.00,0,50.53,0.24
5827,ZeroR,owasp,2,0.00,0.00,0.00,0.00,0,50.21,0.25
5827,ZeroR,owasp,3,0.00,0.00,0.00,0.00,0.00,50.42,0.26
5827,ZeroR,owasp,4,0.00,0.00,0.00,0.00,0.00,50.42,0.23
5827,ZeroR,owasp,5,0.00,0.00,0.00,0.00,0,50.00,0.22
5827,J48,owasp,1,0.89,0.28,75.50,89.40,0.82,80.42,0.38
5827,J48,owasp,2,0.92,0.32,73.90,92.40,0.82,79.96,0.46
5827,J48,owasp,3,0.89,0.29,75.10,88.50,0.81,79.75,0.34
5827,J48,owasp,4,0.83,0.23,78.30,83.00,0.81,80.17,0.33
5827,J48,owasp,5,0.86,0.30,74.50,86.10,0.80,78.27,0.34
5827,RandomForest,owasp,1,0.87,0.31,73.20,87.20,0.80,77.89,0.67
5827,RandomForest,owasp,2,0.88,0.30,74.50,87.70,0.81,78.90,0.66
