model,split,embdim,batchsize,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
rw-Raw-pw,4,8,12,0,89.75,34.62,21,6,41,10,67.74,33.87,23,4.32,25.75,99.26
rw-Raw-pw,4,8,12,0,90.37,28.21,8,14,33,23,25.81,19.51,24,4.32,25.75,103.74
rw-Raw-pw,4,8,12,0,94.10,28.21,14,8,39,17,45.16,26.42,25,4.31,25.75,107.80
rw-Raw-pw,4,8,12,0,62.11,60.26,0,47,0,31,0.00,0.00,26,4.32,25.75,112.19
rw-Raw-pw,4,8,12,0,87.89,52.56,3,38,9,28,9.68,25.00,27,4.32,25.75,116.71
rw-Raw-pw,4,8,12,0,88.82,38.46,21,9,38,10,67.74,35.59,28,4.32,25.75,121.00
rw-Raw-pw,4,8,12,0,90.68,38.46,12,18,29,19,38.71,29.27,29,4.33,25.75,125.48
rw-Raw-pw,4,8,12,0,92.55,39.74,12,19,28,19,38.71,30.00,30,4.33,25.75,129.79
rw-Raw-pw,4,8,12,0,92.86,35.90,10,18,29,21,32.26,25.64,31,4.32,25.75,134.00
rw-Raw-pw,4,8,12,0,92.86,35.90,10,18,29,21,32.26,25.64,32,4.31,25.75,138.02
rw-Raw-pw,4,8,12,0,93.79,41.03,5,27,20,26,16.13,20.00,33,4.30,25.75,142.01
rw-Raw-pw,4,8,12,0,93.48,42.31,8,25,22,23,25.81,26.67,34,4.30,25.75,146.10
rw-Raw-pw,4,8,12,0,93.79,37.18,5,24,23,26,16.13,17.86,35,4.28,25.75,149.95
rw-Raw-pw,4,8,12,0,94.10,39.74,6,25,22,25,19.35,21.43,36,4.28,25.75,154.17
rw-Raw-pw,4,8,12,0,93.79,37.18,13,16,31,18,41.94,29.55,37,4.28,25.75,158.22
rw-Raw-pw,4,8,12,0,94.41,39.74,13,18,29,18,41.94,30.95,38,4.28,25.75,162.53
rw-Raw-pw,4,8,12,0,94.72,39.74,8,23,24,23,25.81,25.00,39,4.27,25.75,166.71
rw-Raw-pw,4,8,12,0,95.34,41.03,7,25,22,24,22.58,24.14,40,4.27,25.75,170.88
rw-Raw-pw,4,8,12,0,95.65,41.03,7,25,22,24,22.58,24.14,41,4.27,25.75,175.12
rw-lower-rand,4,8,12,0,51.23,52.63,0,40,0,36,0.00,0.00,1,6.53,6.53,6.53
rw-lower-rand,4,8,12,0,51.23,52.63,0,40,0,36,0.00,0.00,2,6.64,13.29,13.29
rw-lower-rand,4,8,12,0,51.23,52.63,0,40,0,36,0.00,0.00,3,6.54,19.61,19.61
rw-lower-rand,4,8,12,0,57.10,60.53,6,40,0,30,16.67,100.00,4,6.56,26.25,26.25
rw-lower-rand,4,8,12,0,73.15,72.37,17,38,2,19,47.22,89.47,5,6.56,32.81,32.81
rw-lower-rand,4,8,12,0,86.11,77.63,27,32,8,9,75.00,77.14,6,6.55,39.32,39.32
rw-lower-rand,4,8,12,0,88.89,80.26,32,29,11,4,88.89,74.42,7,6.46,45.25,45.25
rw-lower-rand,4,8,12,0,81.17,69.74,32,21,19,4,88.89,62.75,8,6.49,45.25,51.95
rw-lower-rand,4,8,12,0,89.81,77.63,31,28,12,5,86.11,72.09,9,6.49,45.25,58.38
rw-lower-rand,4,8,12,0,89.81,80.26,32,29,11,4,88.89,74.42,10,6.47,64.73,64.73
rw-lower-rand,4,8,12,0,89.51,80.26,32,29,11,4,88.89,74.42,11,6.52,71.72,71.72
rw-lower-rand,4,8,12,0,90.43,80.26,32,29,11,4,88.89,74.42,12,6.51,78.15,78.15
rw-lower-rand,4,8,12,0,91.05,80.26,32,29,11,4,88.89,74.42,13,6.51,84.68,84.68
rw-lower-rand,4,8,12,0,90.74,80.26,32,29,11,4,88.89,74.42,14,6.48,90.69,90.69
rw-lower-rand,4,8,12,0,91.36,80.26,32,29,11,4,88.89,74.42,15,6.46,96.89,96.89
rw-lower-rand,4,8,12,0,91.05,80.26,32,29,11,4,88.89,74.42,16,6.44,103.08,103.08
rw-lower-rand,4,8,12,0,91.05,80.26,32,29,11,4,88.89,74.42,17,6.42,109.21,109.21
rw-lower-rand,4,8,12,0,91.05,80.26,32,29,11,4,88.89,74.42,18,6.41,115.42,115.42
rw-lower-rand,4,8,12,0,91.05,80.26,32,29,11,4,88.89,74.42,19,6.40,121.52,121.52
rw-lower-rand,4,8,12,0,89.81,81.58,33,29,11,3,91.67,75.00,20,6.38,127.60,127.60
rw-lower-rand,4,8,12,0,90.74,81.58,33,29,11,3,91.67,75.00,21,6.38,134.06,134.06
rw-lower-rand,4,8,12,0,90.74,81.58,33,29,11,3,91.67,75.00,22,6.38,140.27,140.27
rw-lower-rand,4,8,12,0,87.04,78.95,30,30,10,6,83.33,75.00,23,6.37,140.27,146.49
rw-lower-rand,4,8,12,0,91.05,82.89,34,29,11,2,94.44,75.56,24,6.38,153.03,153.03
rw-lower-rand,4,8,12,0,92.28,84.21,33,31,9,3,91.67,78.57,25,6.37,159.30,159.30
rw-lower-rand,4,8,12,0,92.59,84.21,33,31,9,3,91.67,78.57,26,6.37,165.73,165.73
rw-lower-rand,4,8,12,0,92.28,84.21,33,31,9,3,91.67,78.57,27,6.37,171.94,171.94
rw-lower-rand,4,8,12,0,92.59,84.21,33,31,9,3,91.67,78.57,28,6.35,177.76,177.76
rw-lower-rand,4,8,12,0,92.59,80.26,33,28,12,3,91.67,73.33,29,6.34,177.76,183.79
rw-lower-rand,4,8,12,0,91.36,80.26,32,29,11,4,88.89,74.42,30,6.33,177.76,189.85
