prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
Ext,rand,1,8,12,0,92.00,92.00,34,35,5,1,97.14,87.18,50,6.68,294.70,334.21
Ext,rand,2,8,12,0,90.15,92.00,34,35,5,1,97.14,87.18,50,6.16,94.75,307.86
Ext,rand,3,8,12,0,93.35,85.51,23,36,5,5,82.14,82.14,50,6.07,108.23,303.54
Ext,rand,4,8,12,0,96.91,86.84,33,33,7,3,91.67,82.50,52,5.87,293.12,305.27
Ext,rand,5,8,12,0,91.13,89.04,29,36,5,3,90.62,85.29,51,5.94,88.40,302.91
Low,pw,1,8,12,0,89.85,77.33,35,23,15,2,94.59,70.00,50,6.26,116.13,313.22
Low,pw,2,8,12,0,93.16,86.02,47,33,13,0,100.00,78.33,51,5.98,251.29,305.20
Low,pw,3,8,12,0,92.21,82.28,10,55,1,13,43.48,90.91,50,6.10,150.96,305.23
Low,pw,4,8,12,0,87.58,75.64,16,43,4,15,51.61,80.00,51,5.89,86.71,300.32
Low,pw,5,8,12,0,88.31,73.33,44,11,8,12,78.57,84.62,54,5.62,83.24,303.73
Low,rand,1,8,12,0,92.92,90.67,32,36,4,3,91.43,88.89,50,6.58,321.94,328.91
Low,rand,2,8,12,0,94.46,88.00,31,35,5,4,88.57,86.11,50,6.30,302.83,315.23
Low,rand,3,8,12,0,92.15,82.61,24,33,8,4,85.71,75.00,51,5.99,113.67,305.68
Low,rand,4,8,12,0,95.68,88.16,35,32,8,1,97.22,81.40,50,6.04,302.08,302.08
Low,rand,5,8,12,0,92.66,91.78,31,36,5,1,96.88,86.11,51,5.99,71.44,305.47
Raw,pw,1,8,12,0,92.92,72.00,19,35,3,18,51.35,86.36,61,4.95,104.11,301.84
Raw,pw,2,8,12,0,94.79,66.67,44,18,28,3,93.62,61.11,63,4.80,108.14,302.54
Raw,pw,3,8,12,0,95.02,79.75,10,53,3,13,43.48,76.92,60,5.01,280.65,300.60
Raw,pw,4,8,12,0,49.38,60.26,0,47,0,31,0.00,0.00,61,4.71,4.16,287.28
Raw,pw,5,8,12,0,92.31,68.00,44,7,12,12,78.57,78.57,66,4.61,73.96,304.05
Raw,rand,1,8,12,0,95.69,90.67,33,35,5,2,94.29,86.84,57,5.32,195.31,303.22
Raw,rand,2,8,12,0,96.00,92.00,32,37,3,3,91.43,91.43,60,5.03,178.25,301.57
Raw,rand,3,8,12,0,96.07,85.51,23,36,5,5,82.14,82.14,62,4.84,193.75,300.20
Raw,rand,4,8,12,0,97.22,90.79,33,36,4,3,91.67,89.19,63,4.81,278.01,302.78
Raw,rand,5,8,12,0,96.33,86.30,25,38,3,7,78.12,89.29,62,4.87,157.11,302.05
APS,pw,1,8,12,0,88.62,60.00,26,19,19,11,70.27,57.78,62,4.55,30.64,282.37
APS,pw,2,8,12,0,93.49,93.55,47,40,6,0,100.00,88.68,66,4.59,283.41,302.77
APS,pw,3,8,12,0,89.10,79.75,13,50,6,10,56.52,68.42,60,5.04,39.05,302.28
APS,pw,4,8,12,0,89.13,80.77,25,38,9,6,80.65,73.53,67,4.45,39.43,298.39
APS,pw,5,8,12,0,89.23,73.33,55,0,19,1,98.21,74.32,69,4.41,56.81,304.05
APS,rand,1,8,12,0,92.62,92.00,33,36,4,2,94.29,89.19,63,4.79,118.74,301.57
APS,rand,2,8,12,0,94.46,93.33,32,38,2,3,91.43,94.12,62,4.88,131.10,302.48
APS,rand,3,8,12,0,98.79,85.51,24,35,6,4,85.71,80.00,65,4.62,258.13,300.32
APS,rand,4,8,12,0,94.44,86.84,33,33,7,3,91.67,82.50,64,4.73,259.55,302.78
APS,rand,5,8,12,0,90.83,87.67,29,35,6,3,90.62,82.86,65,4.63,49.64,301.15
ANS,pw,1,8,12,0,97.54,76.00,34,23,15,3,91.89,69.39,68,4.45,275.49,302.83
ANS,pw,2,8,12,0,85.34,89.25,47,36,10,0,100.00,82.46,66,4.51,43.60,297.91
ANS,pw,3,8,12,0,90.65,74.68,7,52,4,16,30.43,63.64,62,4.86,291.36,301.16
ANS,pw,4,8,12,0,95.65,73.08,16,41,6,15,51.61,72.73,65,4.36,126.57,283.65
ANS,rand,1,8,12,0,96.92,93.33,33,37,3,2,94.29,91.67,63,4.81,244.41,303.08
ANS,rand,2,8,12,0,95.69,90.67,32,36,4,3,91.43,88.89,63,4.82,206.38,303.78
ANS,rand,3,8,12,0,95.47,82.61,24,33,8,4,85.71,75.00,65,4.65,130.60,302.54
ANS,rand,4,8,12,0,93.21,89.47,34,34,6,2,94.44,85.00,65,4.64,133.64,301.77
ANS,rand,5,8,12,0,95.11,87.67,29,35,6,3,90.62,82.86,65,4.66,190.57,302.98
Ext,pw,1,8,12,0,91.69,80.00,33,27,11,4,89.19,75.00,54,5.62,76.66,303.38
Ext,pw,2,8,12,0,89.90,93.55,47,40,6,0,100.00,88.68,51,5.96,298.14,304.21
Ext,pw,3,8,12,0,95.02,84.81,16,51,5,7,69.57,76.19,50,6.04,186.46,301.76
Ext,pw,4,8,12,0,89.44,80.77,24,39,8,7,77.42,75.00,52,5.81,40.41,302.22
Ext,pw,5,8,12,0,88.31,77.33,44,14,5,12,78.57,89.80,55,5.53,58.98,304.17
Ext,rand,1,8,12,0,96.62,92.00,33,36,4,2,94.29,89.19,51,5.97,274.20,304.23
Ext,rand,2,8,12,0,94.15,89.33,30,37,3,5,85.71,90.91,50,6.01,269.62,300.39
Ext,rand,3,8,12,0,89.43,84.06,22,36,5,6,78.57,81.48,51,5.91,45.66,301.60
Ext,rand,4,8,12,0,91.05,85.53,33,32,8,3,91.67,80.49,52,5.87,133.47,305.34
Ext,rand,5,8,12,0,88.38,89.04,30,35,6,2,93.75,83.33,50,6.01,58.96,300.44
Low,pw,1,8,12,0,92.62,76.00,25,32,6,12,67.57,80.65,53,5.69,209.72,301.82
Low,pw,2,8,12,0,87.62,76.34,47,24,22,0,100.00,68.12,52,5.81,78.13,302.00
Low,pw,3,8,12,0,87.54,84.81,16,51,5,7,69.57,76.19,50,6.22,41.64,311.11
Low,pw,4,8,12,0,85.71,79.49,21,41,6,10,67.74,77.78,54,5.62,43.04,303.37
Low,pw,5,8,12,0,85.54,74.67,43,13,6,13,76.79,87.76,54,5.65,54.55,304.86
Low,rand,1,8,12,0,86.46,89.33,33,34,6,2,94.29,84.62,50,6.02,81.90,300.82
Low,rand,2,8,12,0,84.92,90.67,33,35,5,2,94.29,86.84,50,6.32,55.30,315.75
