data,split,embed,batchsize,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
ANSed-rw-rand,1,8,12,0,90.77,85.33,30,34,6,5,85.71,83.33,55,4.82,177.07,265.19
ANSed-rw-rand,1,8,12,0,96.00,89.33,33,34,6,2,94.29,84.62,56,4.82,177.07,269.80
ANSed-rw-rand,1,8,12,0,96.62,89.33,33,34,6,2,94.29,84.62,57,4.82,177.07,274.79
ANSed-rw-rand,1,8,12,0,96.62,88.00,32,34,6,3,91.43,84.21,58,4.82,177.07,279.35
ANSed-rw-rand,1,8,12,0,97.23,86.67,31,34,6,4,88.57,83.78,59,4.81,177.07,283.84
ANSed-rw-rand,1,8,12,0,97.23,88.00,32,34,6,3,91.43,84.21,60,4.81,177.07,288.47
ANSed-rw-rand,1,8,12,0,97.54,88.00,32,34,6,3,91.43,84.21,61,4.80,177.07,292.78
ANSed-rw-rand,1,8,12,0,97.85,88.00,32,34,6,3,91.43,84.21,62,4.80,177.07,297.64
ANSed-rw-rand,1,8,12,0,97.23,88.00,31,35,5,4,88.57,86.11,63,4.80,177.07,302.50
ANSed-rw-rand,1,8,12,0,97.54,88.00,32,34,6,3,91.43,84.21,64,4.80,177.07,306.92
ANSed-rw-rand,1,8,12,0,96.31,89.33,32,35,5,3,91.43,86.49,65,4.79,177.07,311.50
ANSed-rw-rand,1,8,12,0,90.46,84.00,29,34,6,6,82.86,82.86,66,4.79,177.07,316.28
ANSed-rw-rand,1,8,12,0,89.85,77.33,22,36,4,13,62.86,84.62,67,4.79,177.07,321.24
ANSed-rw-rand,1,8,12,0,94.46,89.33,33,34,6,2,94.29,84.62,68,4.80,177.07,326.16
ANSed-rw-rand,1,8,12,0,95.69,89.33,32,35,5,3,91.43,86.49,69,4.79,177.07,330.82
ANSed-rw-rand,1,8,12,0,92.62,84.00,27,36,4,8,77.14,87.10,70,4.79,177.07,335.58
lower-rw-rand,2,8,12,0,48.92,46.67,35,0,40,0,100.00,46.67,1,6.24,6.24,6.24
lower-rw-rand,2,8,12,0,51.08,53.33,0,40,0,35,0.00,0.00,2,6.48,12.97,12.97
lower-rw-rand,2,8,12,0,66.77,66.67,11,39,1,24,31.43,91.67,3,6.34,19.01,19.01
lower-rw-rand,2,8,12,0,63.38,66.67,10,40,0,25,28.57,100.00,4,6.25,24.99,24.99
lower-rw-rand,2,8,12,0,84.31,90.67,31,37,3,4,88.57,91.18,5,6.20,31.02,31.02
lower-rw-rand,2,8,12,0,80.00,84.00,28,35,5,7,80.00,84.85,6,6.14,31.02,36.85
lower-rw-rand,2,8,12,0,86.46,89.33,32,35,5,3,91.43,86.49,7,6.12,31.02,42.85
lower-rw-rand,2,8,12,0,88.92,81.33,30,31,9,5,85.71,76.92,8,6.12,31.02,48.92
lower-rw-rand,2,8,12,0,89.23,81.33,30,31,9,5,85.71,76.92,9,6.08,31.02,54.70
lower-rw-rand,2,8,12,0,89.85,81.33,30,31,9,5,85.71,76.92,10,6.08,31.02,60.79
lower-rw-rand,2,8,12,0,89.54,80.00,29,31,9,6,82.86,76.32,11,6.06,31.02,66.71
lower-rw-rand,2,8,12,0,89.54,80.00,30,30,10,5,85.71,75.00,12,6.04,31.02,72.52
lower-rw-rand,2,8,12,0,90.15,80.00,30,30,10,5,85.71,75.00,13,6.06,31.02,78.75
lower-rw-rand,2,8,12,0,89.23,80.00,29,31,9,6,82.86,76.32,14,6.02,31.02,84.28
lower-rw-rand,2,8,12,0,90.15,80.00,30,30,10,5,85.71,75.00,15,6.02,31.02,90.31
lower-rw-rand,2,8,12,0,90.77,80.00,30,30,10,5,85.71,75.00,16,6.00,31.02,96.03
lower-rw-rand,2,8,12,0,90.77,80.00,30,30,10,5,85.71,75.00,17,5.99,31.02,101.89
lower-rw-rand,2,8,12,0,90.77,80.00,30,30,10,5,85.71,75.00,18,5.98,31.02,107.62
lower-rw-rand,2,8,12,0,90.46,78.67,29,30,10,6,82.86,74.36,19,5.95,31.02,113.13
lower-rw-rand,2,8,12,0,90.46,81.33,30,31,9,5,85.71,76.92,20,5.93,31.02,118.62
lower-rw-rand,2,8,12,0,88.92,80.00,28,32,8,7,80.00,77.78,21,5.93,31.02,124.63
lower-rw-rand,2,8,12,0,90.46,81.33,29,32,8,6,82.86,78.38,22,5.93,31.02,130.54
lower-rw-rand,2,8,12,0,90.46,82.67,30,32,8,5,85.71,78.95,23,5.93,31.02,136.32
lower-rw-rand,2,8,12,0,91.38,84.00,30,33,7,5,85.71,81.08,24,5.92,31.02,142.12
lower-rw-rand,2,8,12,0,92.00,85.33,31,33,7,4,88.57,81.58,25,5.94,31.02,148.50
lower-rw-rand,2,8,12,0,86.77,78.67,34,25,15,1,97.14,69.39,26,5.97,31.02,155.33
lower-rw-rand,2,8,12,0,85.23,89.33,30,37,3,5,85.71,90.91,27,5.97,31.02,161.17
lower-rw-rand,2,8,12,0,89.85,89.33,32,35,5,3,91.43,86.49,28,5.96,31.02,166.92
