@relation rw-all

@attribute rname {PATH_TRAVERSAL_IN,CRLF_INJECTION_LOGS,XSS_SERVLET,XXE_DOCUMENT,PATH_TRAVERSAL_OUT,HTTPONLY_COOKIE,UNVALIDATED_REDIRECT,WEAK_TRUST_MANAGER,WEAK_HOSTNAME_VERIFIER,UNENCRYPTED_SOCKET,HARD_CODE_PASSWORD,COMMAND_INJECTION,SQL_INJECTION_JDBC,XXE_SAXPARSER,XXE_XMLREADER,INSECURE_COOKIE,HTTP_RESPONSE_SPLITTING}
@attribute sinkline numeric
@attribute sinkIdentifier {File,Logger.info,PrintWriter.write,FileInputStream,DocumentBuilder.parse,Log.debug,FileOutputStream,Logger.debug,HttpServletResponse.sendError,Logger.error,null,javax.servlet.http.HttpServletResponse.sendRedirect,Logger.warning,Logger.severe,FileReader,localhost,remotehost,FileWriter,Runtime.exec,Statement.executeQuery,Connection.prepareStatement,Statement.addBatch,Statement.execute,Statement.executeUpdate,Logger.warn,SAXParser.parse,XMLReader.parse,Logger.log,HttpServletResponse.setHeader,ProcessBuilder.command,Connection.nativeSQL,PrintWriter.println}
@attribute witnessLenght numeric
@attribute numClassesInvolved numeric
@attribute rank numeric
@attribute priority numeric
@attribute numBugs {null,1,2,3,10,4,6,5,21,17,9}
@attribute functions numeric
@attribute conditions numeric
@attribute time numeric
@attribute label {falsepositive,truepositive}

@data
PATH_TRAVERSAL_IN,69,File,2,2,5,1,null,1,0,0,truepositive
PATH_TRAVERSAL_IN,71,File,2,2,5,1,null,1,0,0,truepositive
PATH_TRAVERSAL_IN,51,File,0,0,7,2,null,0,0,0,truepositive
PATH_TRAVERSAL_IN,46,File,2,2,5,1,null,1,0,0,truepositive
PATH_TRAVERSAL_IN,103,File,1,1,5,1,3,1,0,0,truepositive
PATH_TRAVERSAL_IN,108,File,1,1,5,1,3,1,0,0,truepositive
PATH_TRAVERSAL_IN,113,File,1,1,5,1,3,1,0,0,truepositive
PATH_TRAVERSAL_IN,125,File,1,1,5,1,3,1,0,0,truepositive
PATH_TRAVERSAL_IN,130,File,1,1,5,1,3,1,0,0,truepositive
PATH_TRAVERSAL_IN,135,File,1,1,5,1,3,1,0,0,truepositive
PATH_TRAVERSAL_IN,140,File,2,1,5,1,3,1,0,0,truepositive
PATH_TRAVERSAL_IN,191,File,1,1,7,2,3,2,0,0,truepositive
PATH_TRAVERSAL_IN,193,File,2,1,5,1,3,3,0,0,truepositive
PATH_TRAVERSAL_IN,235,File,1,1,7,2,3,2,0,0,truepositive
PATH_TRAVERSAL_IN,271,File,1,1,7,2,3,2,0,0,truepositive
PATH_TRAVERSAL_IN,273,File,2,1,5,1,3,3,0,0,truepositive
XSS_SERVLET,314,PrintWriter.write,2,2,7,2,3,3,0,0,falsepositive
XSS_SERVLET,321,PrintWriter.write,2,2,7,2,3,3,0,0,falsepositive
XSS_SERVLET,351,PrintWriter.write,2,2,7,2,3,3,0,0,falsepositive
PATH_TRAVERSAL_IN,63,File,2,2,5,1,null,2,0,0,truepositive
PATH_TRAVERSAL_IN,63,File,2,2,5,1,null,1,0,0,truepositive
PATH_TRAVERSAL_IN,65,File,2,2,5,1,null,1,0,0,truepositive
PATH_TRAVERSAL_IN,67,File,2,2,5,1,null,1,0,0,truepositive
PATH_TRAVERSAL_IN,76,File,3,1,7,2,null,4,0,0,truepositive
PATH_TRAVERSAL_IN,79,File,3,1,7,2,null,6,0,0,truepositive
PATH_TRAVERSAL_IN,311,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,316,FileInputStream,1,1,7,2,null,4,0,0,falsepositive
PATH_TRAVERSAL_IN,335,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,339,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,118,File,1,1,7,2,null,1,0,0,falsepositive
XXE_DOCUMENT,55,DocumentBuilder.parse,0,0,7,2,null,0,0,0,falsepositive
XXE_DOCUMENT,55,DocumentBuilder.parse,0,0,7,2,null,0,0,0,falsepositive
XXE_DOCUMENT,55,DocumentBuilder.parse,0,0,7,2,null,0,0,0,falsepositive
XXE_DOCUMENT,55,DocumentBuilder.parse,0,0,7,2,null,0,0,0,falsepositive
PATH_TRAVERSAL_IN,111,File,1,1,7,2,null,0,0,0,falsepositive
PATH_TRAVERSAL_IN,130,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,137,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,156,File,4,1,7,2,null,4,0,0,falsepositive
PATH_TRAVERSAL_IN,48,File,1,1,7,2,null,0,0,0,falsepositive
PATH_TRAVERSAL_IN,52,File,1,1,7,2,null,0,0,0,falsepositive
PATH_TRAVERSAL_IN,65,File,1,1,7,2,null,0,0,0,falsepositive
PATH_TRAVERSAL_IN,71,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,80,File,1,1,7,2,null,0,0,0,falsepositive
PATH_TRAVERSAL_IN,94,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,391,File,5,2,7,2,null,5,0,0,truepositive
CRLF_INJECTION_LOGS,105,Log.debug,12,3,7,2,null,3,1,0,truepositive
PATH_TRAVERSAL_IN,138,File,0,0,7,2,null,0,0,0,falsepositive
PATH_TRAVERSAL_IN,147,FileInputStream,0,0,7,2,null,0,0,0,falsepositive
PATH_TRAVERSAL_OUT,160,FileOutputStream,0,0,7,2,null,0,0,0,falsepositive
CRLF_INJECTION_LOGS,52,Logger.debug,4,1,7,2,1,9,1,0,falsepositive
CRLF_INJECTION_LOGS,66,Logger.info,6,1,7,2,1,7,0,0,truepositive
CRLF_INJECTION_LOGS,45,Logger.info,5,1,7,2,1,6,0,0,truepositive
PATH_TRAVERSAL_IN,271,File,2,1,7,2,null,5,0,0,falsepositive
PATH_TRAVERSAL_IN,74,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,80,File,1,1,7,2,null,1,0,0,falsepositive
XSS_SERVLET,70,HttpServletResponse.sendError,1,1,7,2,1,5,0,0,falsepositive
CRLF_INJECTION_LOGS,131,Logger.error,7,3,7,2,1,4,0,0,falsepositive
HTTPONLY_COOKIE,28,null,0,0,7,2,3,0,0,0,truepositive
UNVALIDATED_REDIRECT,39,javax.servlet.http.HttpServletResponse.sendRedirect,3,1,7,2,3,3,0,0,truepositive
PATH_TRAVERSAL_IN,175,File,16,5,7,2,2,12,3,0,truepositive
PATH_TRAVERSAL_IN,492,File,16,5,7,2,2,9,2,0,truepositive
PATH_TRAVERSAL_IN,101,File,7,1,7,2,3,9,0,0,truepositive
PATH_TRAVERSAL_IN,78,File,2,1,7,2,3,2,0,0,truepositive
PATH_TRAVERSAL_IN,86,File,8,1,7,2,3,9,0,0,truepositive
PATH_TRAVERSAL_IN,177,File,2,1,7,2,2,1,0,0,truepositive
PATH_TRAVERSAL_IN,187,File,7,1,7,2,2,6,0,0,truepositive
PATH_TRAVERSAL_IN,136,File,0,0,5,1,2,0,0,0,truepositive
PATH_TRAVERSAL_IN,48,FileInputStream,0,0,5,1,2,0,0,0,truepositive
PATH_TRAVERSAL_IN,56,File,0,0,5,1,2,0,0,0,truepositive
PATH_TRAVERSAL_IN,2103,File,2,1,7,2,10,3,0,0,falsepositive
PATH_TRAVERSAL_IN,2115,File,2,1,7,2,10,2,0,0,falsepositive
PATH_TRAVERSAL_IN,414,File,38,9,5,1,10,13,1,0,truepositive
PATH_TRAVERSAL_IN,531,File,1,1,7,2,10,1,0,0,falsepositive
PATH_TRAVERSAL_IN,560,File,0,0,7,2,10,0,0,0,falsepositive
PATH_TRAVERSAL_IN,568,File,1,1,7,2,10,1,0,0,falsepositive
PATH_TRAVERSAL_IN,726,File,86,14,5,1,10,47,4,0,truepositive
PATH_TRAVERSAL_IN,728,File,86,14,5,1,10,47,4,0,truepositive
PATH_TRAVERSAL_IN,786,File,39,7,7,2,10,28,1,0,truepositive
PATH_TRAVERSAL_IN,889,File,39,7,7,2,10,28,2,0,truepositive
CRLF_INJECTION_LOGS,512,Logger.warning,6,1,7,2,3,6,1,0,truepositive
PATH_TRAVERSAL_IN,689,File,4,1,5,1,3,4,1,0,truepositive
CRLF_INJECTION_LOGS,690,Logger.severe,5,1,7,2,3,5,1,0,truepositive
PATH_TRAVERSAL_IN,116,File,1,1,5,1,1,0,0,0,truepositive
PATH_TRAVERSAL_IN,608,File,1,1,7,2,1,1,1,0,falsepositive
PATH_TRAVERSAL_IN,226,File,4,1,7,2,1,4,0,0,falsepositive
PATH_TRAVERSAL_IN,218,File,4,2,5,1,2,2,0,0,truepositive
PATH_TRAVERSAL_IN,220,File,1,1,7,2,2,1,0,0,truepositive
PATH_TRAVERSAL_IN,288,File,4,1,7,2,1,4,0,0,truepositive
PATH_TRAVERSAL_IN,159,File,18,4,7,2,3,4,2,0,falsepositive
PATH_TRAVERSAL_IN,500,File,1,1,7,2,3,1,0,0,falsepositive
PATH_TRAVERSAL_IN,83,File,6,2,7,2,3,2,1,0,falsepositive
PATH_TRAVERSAL_IN,55,File,22,9,7,2,4,15,3,0,truepositive
PATH_TRAVERSAL_IN,170,File,2,1,7,2,2,2,0,0,falsepositive
PATH_TRAVERSAL_IN,149,File,0,0,7,2,4,0,0,0,falsepositive
PATH_TRAVERSAL_IN,152,File,14,1,7,2,4,12,4,0,falsepositive
PATH_TRAVERSAL_IN,166,File,1,1,7,2,4,1,0,0,falsepositive
PATH_TRAVERSAL_IN,176,File,14,1,7,2,4,12,4,0,falsepositive
PATH_TRAVERSAL_IN,76,FileReader,5,2,5,1,1,2,0,0,truepositive
PATH_TRAVERSAL_IN,160,File,3,1,7,2,2,4,0,0,falsepositive
PATH_TRAVERSAL_IN,171,File,3,1,7,2,2,3,0,0,falsepositive
PATH_TRAVERSAL_IN,203,File,0,0,7,2,2,0,0,0,falsepositive
PATH_TRAVERSAL_IN,216,File,5,1,7,2,2,5,1,0,falsepositive
PATH_TRAVERSAL_IN,131,File,2,2,7,2,2,2,0,0,falsepositive
PATH_TRAVERSAL_IN,66,File,1,1,7,2,1,1,0,0,falsepositive
PATH_TRAVERSAL_IN,117,File,4,1,7,2,3,4,0,0,truepositive
PATH_TRAVERSAL_IN,42,File,1,1,7,2,1,1,0,0,falsepositive
PATH_TRAVERSAL_IN,104,File,2,1,7,2,4,2,0,0,falsepositive
PATH_TRAVERSAL_IN,163,FileInputStream,1,1,7,2,4,1,0,0,falsepositive
PATH_TRAVERSAL_OUT,169,FileOutputStream,1,1,7,2,4,1,0,0,falsepositive
PATH_TRAVERSAL_IN,79,File,2,1,7,2,4,2,0,0,falsepositive
PATH_TRAVERSAL_IN,118,FileInputStream,2,1,7,2,1,2,0,0,falsepositive
PATH_TRAVERSAL_IN,2453,File,12,1,7,2,null,20,0,0,falsepositive
WEAK_TRUST_MANAGER,254,null,0,0,7,2,null,0,0,0,truepositive
WEAK_HOSTNAME_VERIFIER,272,null,0,0,7,2,null,0,0,0,truepositive
UNENCRYPTED_SOCKET,181,localhost,0,0,7,2,null,0,0,0,truepositive
HARD_CODE_PASSWORD,35,null,0,0,5,1,null,0,0,0,truepositive
PATH_TRAVERSAL_IN,187,File,0,0,5,1,null,0,0,0,truepositive
HARD_CODE_PASSWORD,145,null,0,0,5,1,null,0,0,0,truepositive
PATH_TRAVERSAL_IN,122,FileInputStream,1,1,5,1,null,1,0,0,truepositive
PATH_TRAVERSAL_IN,45,File,2,1,7,2,null,1,0,0,truepositive
UNENCRYPTED_SOCKET,185,remotehost,0,0,7,2,null,0,0,0,truepositive
PATH_TRAVERSAL_IN,1670,File,3,1,7,2,null,6,0,0,falsepositive
HARD_CODE_PASSWORD,1945,null,0,0,5,1,null,0,0,0,truepositive
PATH_TRAVERSAL_OUT,154,FileWriter,0,0,5,1,1,0,0,0,truepositive
PATH_TRAVERSAL_OUT,255,FileOutputStream,4,1,7,2,2,7,0,0,falsepositive
PATH_TRAVERSAL_IN,197,File,6,2,7,2,1,2,1,0,falsepositive
PATH_TRAVERSAL_IN,121,File,1,1,7,2,1,1,0,0,falsepositive
